date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:06	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-6074692234fbb%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400d41d.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:07	13584/13584	---M--	200	added ('OK')	font/woff2	etag:%223510-6074692235f5b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.woff2	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:07	715890/715890	---M--	200	added ('OK')	image/svg+xml	etag:%22aec72-607469223307b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.svg	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:07	16800/16800	---M--	200	added ('OK')	font/woff	etag:%2241a0-6074692235f5b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.woff	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:07	34092/34092	---M--	200	added ('OK')	font/ttf	etag:%22852c-6074692235f5b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.ttf	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:09	144322/144322	---M--	200	added ('OK')	image/svg+xml	etag:%22233c2-6074692235f5b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.svg	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:09	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231896-6074692235f5b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-solid-900.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:09	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231896-6074692235f5b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-solid-900d41d.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:10	103300/103300	---M--	200	added ('OK')	font/woff	etag:%2219384-6074692237e9c%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-solid-900.woff	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:10	79444/79444	---M--	200	added ('OK')	font/woff2	etag:%2213654-6074692237e9c%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-solid-900.woff2	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
